,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_dropout_rate,param_epochs,param_num_nodes,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
10,3181.2693461179733,122.311039154856,3.1232540369033814,0.4808116739529224,relu,100,0.5,100,300,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.5, 'epochs': 100, 'num_nodes': 300, 'optimizer': 'adam'}",0.6195693958589362,0.6007304858522783,0.5745866966372833,0.5773420453942404,0.5709342515409016,0.575547864375841,0.5699090074915374,0.5597206182614605,0.5693323065818128,0.5628324246337802,0.5780506071777536,0.017370878403376023,8,0.6532576739943801,0.6565826294371275,0.6564046336540311,0.6531223972009242,0.6552085042599033,0.652168341267194,0.6579425158203983,0.6570169386679157,0.6539625363032551,0.6597106537251337,0.6555376824330263,0.002284788292588328
11,4547.796619963646,347.64904784877234,3.265355110168457,0.7234717921902682,relu,100,0.5,100,400,adam,"{'activation': 'relu', 'batch_size': 100, 'dropout_rate': 0.5, 'epochs': 100, 'num_nodes': 400, 'optimizer': 'adam'}",0.6152120965742903,0.6010508781959503,0.5729847467588826,0.5765090347039123,0.5704857095928967,0.5758041774601749,0.5731769822414725,0.5555555506400629,0.5702934747595948,0.5619352731289141,0.5773008908652956,0.016865171298225654,9,0.6597224705521576,0.6630830240982274,0.6651335328989876,0.6659807917240024,0.6629335090124284,0.6623140842245105,0.6706442738536225,0.6682377730809674,0.6672196399605129,0.6616614692804625,0.664693056868588,0.0031853237762503196
12,1108.5169803380966,85.61979626876007,2.2336916446685793,0.1675777866152899,sigmoid,100,0.0,100,100,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 100, 'optimizer': 'adam'}",0.5849032422204697,0.5692041497856596,0.5554273968917444,0.55183903349526,0.5452390095770672,0.5324234242975812,0.5443419180404646,0.5322952684562634,0.5353069313306862,0.5347004137104882,0.5485681676422495,0.016511855112161487,25,0.6777427348080701,0.6750656807090692,0.6776288161395544,0.6808540950437459,0.6782980793138774,0.6639374040616389,0.6822495791420364,0.6783336789373086,0.6756708660838715,0.6816680206822632,0.6771448954921435,0.004945128660701455
13,1643.3345392942429,56.51207082877831,2.566628575325012,0.39145245032678216,sigmoid,100,0.0,100,200,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 200, 'optimizer': 'adam'}",0.5521594248153484,0.5366525654302077,0.522299112669248,0.5085864376215145,0.5116621791346324,0.5215942556623097,0.5058310888645573,0.4894912186229472,0.516980645833192,0.5009291873685597,0.516618712137461,0.017056300724075633,27,0.7931478857895625,0.7990929331452576,0.7965440382066477,0.7930126080934625,0.8016845472309511,0.7985091081560373,0.79413041951108,0.7979537623024171,0.7955828625650865,0.7934056681909849,0.7963063833191487,0.0028073003397356927
14,2987.032995724678,151.09730938487496,3.843024230003357,0.5912801173180532,sigmoid,100,0.0,100,300,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 300, 'optimizer': 'adam'}",0.5325515797531454,0.5313340968296159,0.5033961251868845,0.5090349820062593,0.5073689587082937,0.5055106982395892,0.49852620577958856,0.4826989588383206,0.49339997130572055,0.4869593060654503,0.5050782043734161,0.01573692499096522,29,0.8779449351725774,0.8837903070608375,0.8806931847644253,0.8830854457208092,0.8837191101064454,0.8774251893145646,0.8768128844941947,0.8763500965857064,0.8802944763567744,0.8833425894562308,0.8803458219032565,0.0028739314956107227
15,4263.436638402939,338.40023270504156,3.7711097240447997,0.7006491852337139,sigmoid,100,0.0,100,400,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.0, 'epochs': 100, 'num_nodes': 400, 'optimizer': 'adam'}",0.5362040232473133,0.5251826183636739,0.49852620563827293,0.5057670103576295,0.5039728294652684,0.5046776854409846,0.5007048558038457,0.4870562573590982,0.4805203087434056,0.49029156971497245,0.5032904197073719,0.015973358540481094,31,0.9203719408003053,0.9201583462098496,0.9182573547890558,0.9240457682011428,0.9195246820351273,0.9182431152885191,0.9227713197856953,0.9159861323876802,0.9203221027907444,0.9164210359798668,0.9196101798267986,0.002409678811824483
16,1338.8734257698059,102.26510162531883,2.8276642322540284,0.42761157938931016,sigmoid,100,0.3,100,100,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 100, 'optimizer': 'adam'}",0.6149557855256655,0.5993848496960414,0.5788158403976169,0.5785595272941864,0.5754837877919518,0.5788799158949035,0.5705497881704823,0.5636934498846569,0.5695886175616894,0.5637295717461221,0.5793642135798626,0.015320238101998137,7,0.6168611556299856,0.6192106961190573,0.6191323788164536,0.6208197756667372,0.6231479569499876,0.6213537616007383,0.6221867811238236,0.6245719203116149,0.6226638088833819,0.6227305730243331,0.6212678808126114,0.002186403507268349
17,1941.272987508774,100.98337542587025,3.2449138879776003,0.6869675485966481,sigmoid,100,0.3,100,200,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 200, 'optimizer': 'adam'}",0.6202101757721031,0.6017557346299873,0.5779828259566954,0.5872100463558829,0.5761886465615161,0.5818274997716132,0.5734973702578304,0.560809944323908,0.5686274498880605,0.5632169183268451,0.5811327759855314,0.017241834530966726,4,0.6507230185974712,0.6544253244239305,0.6570240576555834,0.6565826296505879,0.6587256957213004,0.6540194952301136,0.6533858312039222,0.6578357177194958,0.6560913623493285,0.6552394386599197,0.6554052571211653,0.0022431997535791825
18,3381.017147922516,151.0301260952147,4.43562126159668,0.6097310048102585,sigmoid,100,0.3,100,300,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 300, 'optimizer': 'adam'}",0.6159169535812286,0.6002819410397673,0.5783672911241148,0.5805459418358535,0.5764449558914372,0.584326540974643,0.57074201995404,0.5618351910582693,0.5722158141859094,0.5682793950010897,0.5808956853071978,0.015301392458595903,5,0.6859803642479589,0.6892127627313961,0.6910283167411457,0.6863648346191644,0.6880807107438186,0.6899105049517763,0.6882800664066429,0.6863149961640106,0.6889849285805668,0.6898557540495406,0.6884013239236021,0.0016362061948293882
19,4742.382582068443,330.29474732041666,4.927284073829651,1.1522854442120996,sigmoid,100,0.3,100,400,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.3, 'epochs': 100, 'num_nodes': 400, 'optimizer': 'adam'}",0.6157247229377444,0.601243110477932,0.5815711899948292,0.5803537092865177,0.5748430080697519,0.5834294484392827,0.5710624085471185,0.5606817868899248,0.5729847488595204,0.5621916002205113,0.5804086901036338,0.016081752819537144,6,0.7195574329045249,0.7150221072740445,0.7192370412889556,0.7138615779667645,0.7199276633745844,0.7163107950639895,0.7198351060210303,0.7194079168812831,0.7198279864417848,0.7222222232330746,0.7185209850450036,0.0024560912678443982
20,1419.9645508289336,193.8445123518157,3.2935468912124635,0.46096463163878737,sigmoid,100,0.5,100,100,adam,"{'activation': 'sigmoid', 'batch_size': 100, 'dropout_rate': 0.5, 'epochs': 100, 'num_nodes': 100, 'optimizer': 'adam'}",0.6115596556333522,0.6004100959911784,0.5740740726303629,0.5784954475268758,0.5731769819053705,0.574202230186565,0.5668332677162199,0.5633730592023986,0.5606817873291491,0.5621275218852396,0.5764935040548951,0.01596749892500341,10,0.5958292084493142,0.6020804099884424,0.6011548343687997,0.602778153007495,0.6033477395486269,0.6020661708498969,0.6013399494926434,0.605106333654184,0.6025075997435323,0.6064334223379633,0.6022643821440898,0.0026556473605588104
